book_name,book_author,book_narrator,book_price,book_imagelink
The Ascent of Humanity,Charles Eisenstein,Steve Wojtas,$39.13,https://m.media-amazon.com/images/I/61VupPtW9TL._SL500_.jpg
The Cyber Security Handbook,Alan Calder,Stephen Perring,$19.95,https://m.media-amazon.com/images/I/41oCunHojXL._SL500_.jpg
500 Social Media Marketing Tips,Andrew Macarthy,Logan Foster,$24.95,https://m.media-amazon.com/images/I/51XtmgFmP+L._SL500_.jpg
"Arduino: The Complete 3 Books in 1 for Beginners, Intermediate and 19 Sample Designs and Codings and Advance Crash Guide in Arduino Programming",Zach Webber,William Bahl,$14.95,https://m.media-amazon.com/images/I/51a26HTyBwL._SL500_.jpg
Lean Mastery: 8 Books in 1,Greg Caldwell,KC Wayman,$24.95,https://m.media-amazon.com/images/I/513xpLkXBaL._SL500_.jpg
Coders at Work,Peter Seibel,Mitchell Dorian,$49.99,https://m.media-amazon.com/images/I/51Y7qsBCEqS._SL500_.jpg
Targeted,Brittany Kaiser,Brittany Kaiser,$34.22,https://m.media-amazon.com/images/I/517kVK3bv1L._SL500_.jpg
Computer Engineering: 2 Books in 1,John Snowden,KC Wayman,$19.95,https://m.media-amazon.com/images/I/518TuQ7YeHL._SL500_.jpg
The Sassy Way to Starting a Successful Blog When You Have No Clue!,Gundi Gabrielle,Gundi Gabrielle,$6.95,https://m.media-amazon.com/images/I/51PgbQoeGoS._SL500_.jpg
Cybersecurity,John Snowden,KC Wayman,$14.95,https://m.media-amazon.com/images/I/51jCoc9kK9L._SL500_.jpg
Programming for Beginners: 2 Books in 1: Absolute Beginner’s Guide to Mastering Coding Languages and Machine Learning,Ken Madron,Jack Lipsky,$24.95,https://m.media-amazon.com/images/I/51K00UNQrhL._SL500_.jpg
SQL: 3 Books in 1,Andy Vickler,Helpful Matthew,$24.95,https://m.media-amazon.com/images/I/51A0ecgfHtL._SL500_.jpg
The Security Consultant’s Handbook,Richard Bingley,Malk Williams,$24.95,https://m.media-amazon.com/images/I/51v5Qqs2cXL._SL500_.jpg
Programming for Beginners: 6 Books in 1 - Swift+PHP+Java+Javascript+Html+CSS: Basic Fundamental Guide for Beginners,MG Martin,William Bahl,$19.95,https://m.media-amazon.com/images/I/61B5ZlvOZOL._SL500_.jpg
TechGnosis,Erik Davis,Steve Wojtas,$41.93,https://m.media-amazon.com/images/I/51ml0wo4n3L._SL500_.jpg
We Have Root,Bruce Schneier,Graham Rowat,$27.99,https://m.media-amazon.com/images/I/51+i15sOTxL._SL500_.jpg
Big Ratchet,Ruth Defries,Pam Ward,$17.49,https://m.media-amazon.com/images/I/51N3fiqeoPL._SL500_.jpg
Inteligencia Artificial - 2 Libros [Artificial Intelligence - 2-Book Bundle],John Adamssen,Matías Gallego,$6.95,https://m.media-amazon.com/images/I/51ZEMxp9tSL._SL500_.jpg
Value Branding with Social Media Marketing,Casey Greenwood,Daryl Stanwyck,$14.95,https://m.media-amazon.com/images/I/61SjR05cgOL._SL500_.jpg
Agile Project Management,Sam Ryan,Jason Belvill,$19.95,https://m.media-amazon.com/images/I/51drRg4CDWL._SL500_.jpg
Laws of UX,Jon Yablonski,Jason Leikam,$29.99,https://m.media-amazon.com/images/I/51qki3l4c-L._SL500_.jpg
